id_client,id_group,city,nflag_purchase,time_came
24360208,0,Brussels,1,21.10.2025
24360925,1,Brussels,1,16.10.2025
24357607,1,Antwerp,0,9.1.2021
24362041,0,Antwerp,0,25.01.2024
24360773,1,Ghent,0,3.4.2021
24360863,1,Ghent,1,20.08.2025
24357361,0,Ghent,0,30.03.2025
24358603,0,Brussels,0,12.10.2021
24358756,0,Antwerp,0,24.03.2025
24357685,0,Liege,0,25.03.2024
24358724,1,Liege,0,6.12.2020
24361277,1,Liege,0,3.11.2021
24357242,1,Antwerp,1,10.12.2021
24357997,1,Brussels,0,16.01.2025
24362461,1,Brussels,0,19.09.2025
24358379,1,Antwerp,1,28.01.2025
24359851,0,Brussels,0,18.07.2024
24360714,0,Antwerp,0,26.03.2025
24361011,1,Liege,1,1.7.2020
24359747,1,Liege,0,1.2.2020
24360906,1,Antwerp,0,12.1.2021
24358741,0,Antwerp,0,22.08.2024
24359026,1,Brussels,0,17.09.2025
24357707,0,Liege,0,12.1.2020
24359057,0,Antwerp,0,27.11.2025
24361398,1,Antwerp,0,4.9.2020
24363028,0,Leuven,0,3.1.2021
24357576,0,Brussels,1,1.2.2021
24359776,1,Brussels,0,17.12.2024
24359901,0,Brussels,0,13.04.2025
24362747,1,Leuven,1,22.10.2024
24359109,0,Antwerp,0,1.4.2020
24359378,1,Antwerp,0,11.10.2021
24358592,1,Antwerp,1,13.10.2024
24358377,1,Antwerp,0,11.5.2020
24363077,0,Leuven,1,20.08.2025
24361060,0,Brussels,0,19.03.2025
24358730,0,Antwerp,0,9.3.2021
24361463,0,Antwerp,0,9.10.2021
24362730,0,Leuven,1,26.11.2024
24362674,1,Brussels,1,3.6.2020
24358278,1,Brussels,0,27.02.2025
24360631,1,Liege,1,18.07.2024
24359261,0,Antwerp,0,4.5.2021
24362611,1,Antwerp,0,17.12.2025
24361004,0,Liege,1,1.1.2020
24359795,1,Brussels,0,25.08.2024
24361948,1,Ghent,0,24.02.2025
24357903,0,Antwerp,1,4.2.2020
24362503,1,Ghent,1,24.10.2024
24361613,1,Liege,0,28.06.2024
24362894,0,Leuven,0,15.10.2024
24357889,1,Ghent,0,19.06.2024
24358646,0,Ghent,1,24.10.2025
24360288,1,Antwerp,0,23.05.2024
24359608,0,Antwerp,0,25.03.2025
24361114,0,Ghent,1,5.5.2021
24357157,0,Liege,1,16.01.2025
24360772,1,Brussels,0,18.01.2025
24359892,0,Antwerp,1,20.10.2024
24357549,1,Brussels,0,1.3.2021
24356970,1,Brussels,1,15.04.2024
24357351,0,Antwerp,0,29.11.2025
24359794,0,Liege,0,28.06.2024
24361690,1,Antwerp,0,17.03.2025
24362363,1,Ghent,0,24.08.2025
24359084,1,Brussels,1,5.1.2021
24363052,1,Leuven,1,8.12.2021
24358849,0,Liege,0,18.01.2025
24357829,1,Brussels,0,6.3.2020
24357405,0,Brussels,0,8.7.2021
24360912,0,Brussels,0,13.01.2025
24358387,1,Brussels,1,25.08.2025
24358096,1,Liege,0,15.05.2025
24359652,0,Liege,0,30.06.2024
24357012,1,Brussels,1,26.08.2025
24360874,1,Antwerp,1,6.3.2020
24362769,1,Leuven,1,10.9.2020
24362072,1,Liege,0,12.6.2021
24359014,1,Liege,0,5.8.2020
24356870,0,Liege,1,27.03.2024
24359972,1,Antwerp,0,13.08.2025
24361969,0,Brussels,0,16.03.2025
24357756,1,Ghent,0,6.10.2021
24360067,0,Ghent,0,29.01.2025
24363020,1,Leuven,1,12.8.2021
24358372,0,Antwerp,1,9.3.2020
24361235,1,Liege,0,10.9.2020
24361919,1,Liege,0,18.03.2025
24360680,1,Antwerp,0,11.3.2021
24361981,1,Brussels,1,23.05.2024
24359830,0,Brussels,1,2.9.2020
24362324,1,Liege,0,24.08.2024
24360178,1,Antwerp,1,3.3.2020
24357124,0,Antwerp,0,19.10.2025
24360687,0,Antwerp,0,20.03.2025
24359527,1,Brussels,0,29.04.2024
24361342,1,Antwerp,1,6.8.2021
24362647,0,Liege,0,11.7.2021
24359707,0,Liege,0,25.07.2025
24358983,1,Brussels,0,23.01.2025
24359465,1,Brussels,0,16.08.2025
24359293,0,Ghent,0,23.01.2025
24359019,0,Brussels,0,11.5.2021
24359581,0,Antwerp,0,4.11.2020
24362574,0,Antwerp,0,8.3.2021
24362159,0,Brussels,1,1.7.2021
24361253,1,Ghent,0,8.2.2021
24358285,1,Brussels,0,17.11.2025
24359569,0,Brussels,1,2.5.2021
24358089,1,Antwerp,0,4.2.2020
24357650,1,Ghent,0,15.11.2025
24361830,0,Brussels,0,27.05.2025
24362631,0,Brussels,0,8.10.2020
24360326,0,Liege,0,29.03.2024
24359469,1,Ghent,0,9.10.2021
24358805,0,Brussels,0,23.04.2025
24362311,1,Brussels,0,24.12.2025
24358859,0,Brussels,0,14.07.2025
24358013,1,Antwerp,1,6.11.2021
24360567,0,Brussels,0,8.11.2021
24360905,0,Antwerp,0,10.3.2020
24361520,0,Brussels,0,1.1.2021
24361045,0,Liege,1,22.06.2025
24359982,1,Liege,1,22.03.2024
24359350,0,Ghent,0,2.6.2020
24357028,0,Antwerp,0,19.12.2025
24362836,1,Leuven,1,25.04.2024
24358133,0,Ghent,0,11.1.2021
24362958,0,Leuven,0,2.1.2021
24359340,0,Antwerp,0,5.12.2020
24360826,0,Ghent,1,26.04.2025
24359961,1,Ghent,0,29.11.2024
24358330,1,Brussels,0,20.02.2024
24358142,1,Brussels,0,6.4.2020
24361091,1,Liege,0,22.12.2024
24358989,0,Brussels,0,26.02.2025
24356995,1,Brussels,1,12.2.2021
24359957,1,Antwerp,0,2.2.2021
24357539,0,Antwerp,1,5.3.2020
24362708,0,Brussels,0,2.7.2020
24357808,1,Brussels,1,4.1.2020
24357383,1,Ghent,0,1.7.2021
24357023,1,Ghent,0,8.7.2021
24358658,1,Liege,1,5.3.2021
24361421,1,Brussels,0,7.10.2021
24357710,1,Ghent,0,23.08.2024
24362937,0,Leuven,0,4.8.2021
24361796,1,Antwerp,0,17.04.2025
24357074,0,Ghent,0,16.06.2025
24358359,1,Antwerp,0,21.06.2025
24359280,0,Brussels,1,1.8.2020
24357861,1,Brussels,0,1.6.2021
24360522,0,Brussels,0,12.10.2020
24359266,0,Brussels,1,7.10.2020
24360405,0,Brussels,0,14.01.2025
24359176,0,Brussels,0,21.05.2025
24362243,0,Antwerp,1,4.2.2021
24359902,0,Ghent,0,14.07.2024
24360139,1,Brussels,1,7.12.2021
24360193,0,Antwerp,0,8.1.2020
24362789,1,Leuven,1,1.8.2020
24358173,1,Brussels,0,18.02.2025
24357971,1,Ghent,0,28.05.2024
24360862,0,Brussels,0,25.06.2025
24357906,1,Brussels,0,20.03.2025
24357708,1,Brussels,1,8.3.2021
24362993,1,Leuven,1,15.05.2025
24360127,1,Brussels,0,26.07.2025
24360987,1,Brussels,1,9.1.2020
24358220,1,Brussels,0,30.10.2024
24360197,1,Antwerp,0,6.5.2021
24359189,0,Brussels,0,25.08.2024
24358897,1,Brussels,0,23.04.2025
24362011,0,Antwerp,1,10.10.2021
24359054,0,Antwerp,0,6.8.2021
24361611,0,Liege,1,23.09.2024
24356902,0,Antwerp,1,10.3.2021
24358231,1,Brussels,0,18.04.2025
24360353,1,Ghent,1,4.5.2020
24362310,0,Brussels,0,6.10.2021
24361699,1,Antwerp,0,17.12.2024
24362163,0,Liege,1,16.05.2024
24357101,0,Brussels,0,2.11.2021
24362530,0,Brussels,0,8.7.2021
24357403,0,Brussels,0,10.10.2020
24358597,1,Antwerp,1,27.11.2025
24358408,1,Liege,0,24.10.2024
24362488,0,Liege,1,6.6.2021
24361853,0,Antwerp,0,9.9.2020
24359549,1,Antwerp,0,26.09.2024
24357320,0,Brussels,0,6.3.2020
24358856,0,Brussels,0,11.9.2020
24362082,0,Antwerp,0,8.3.2020
24362743,1,Leuven,1,24.04.2024
24360630,1,Brussels,0,21.01.2024
24363175,1,Leuven,1,14.08.2025
24359904,1,Antwerp,0,31.01.2025
24357981,0,Antwerp,1,16.09.2025
24360257,1,Brussels,0,30.10.2024
24358987,0,Antwerp,1,25.03.2025
24359432,0,Antwerp,0,10.6.2021
24359998,0,Liege,0,23.04.2024
24359438,1,Antwerp,0,5.3.2020
24357742,0,Ghent,0,7.9.2021
24359249,0,Ghent,0,29.07.2025
24358725,0,Brussels,0,30.10.2025
24361692,0,Ghent,1,17.09.2024
24359099,1,Antwerp,0,14.08.2024
24362413,0,Liege,0,17.05.2025
24361064,1,Antwerp,0,5.12.2021
24360003,1,Liege,0,4.6.2021
24361497,1,Antwerp,1,28.04.2025
